pairID	gold_label	Sentence1	Sentence2	Explanation_1	Sentence1_si	Sentence2_si	Explanation_1_si
3718892835.jpg#4r1n	neutral	A woman is about to fall off a scooter.	She will do a trick rather than fall.	Just because a woman is about to fall off a scooter doesn't imply she will do a trick.	Ženska bo padla s skuterja.	Raje bo naredila trik, kot pa padla.	Samo zato, ker bo ženska padla s skuterja, še ne pomeni, da bo naredila trik.
3056464479.jpg#4r1c	contradiction	a man and a wolf in the arctic snow.	A man and wolf face off in the jungle.	There is no snow in the jungle.	človek in volk v arktičnem snegu.	Človek in volk se spopadeta v džungli.	V džungli ni snega.
8112171798.jpg#1r1c	contradiction	The guy on the bicycle is doing a very high jump on a track.	A lady on a bike rides quietly.	A guy is not a lady	Tip na kolesu skače zelo visoko na stezi.	Gospa na kolesu se tiho pelje.	Fant ni dama
468930779.jpg#0r1n	neutral	A dog has its head coming up from the water as it holds a stick.	A dog is swimming to shore after fetching a stick.	Coming up does not imply swimming to shore.	Pes dviguje glavo iz vode, medtem ko drži palico.	Pes plava do obale, potem ko je prinesel palico.	Prihod navzgor ne pomeni plavanja do obale.
43980543.jpg#0r1c	contradiction	A construction crew of 10 people is working on a new building structure.	The people are playing the drums in a field.	The people are being described as both working and playing the drums.	Gradbena ekipa 10 ljudi dela na novi gradbeni konstrukciji.	Ljudje igrajo na bobne na polju.	Ljudje so opisani tako, da delajo in igrajo bobne.
417931483.jpg#4r1n	neutral	A man is sitting in front of his gray laptop.	There is a man sitting in a chair.	Not all men sit in a chair.	Moški sedi pred svojim sivim prenosnikom.	Na stolu sedi moški.	Ne sedijo vsi moški na stolu.
4473229124.jpg#2r1n	neutral	Three teenage girls walking down the sidewalk together on a nice day	The teenagers are walking to school.	Teenage girls could be walking to somewhere besides school.	Tri najstnice, ki so skupaj hodile po pločniku na lep dan	Najstniki hodijo v šolo.	Najstnice bi lahko hodile kam drugam poleg šole.
4451284349.jpg#4r1n	neutral	Some people walk on a gray sidewalk.	People are waiting along a parade route.	They said nothing about a parade route or that anyone was waiting to watch it.	Nekateri hodijo po sivem pločniku.	Ljudje čakajo ob poti parade.	Nič niso povedali o trasi parade ali o tem, da jo kdo čaka.
2804904604.jpg#0r1c	contradiction	A small blond boy plays with a rubber paint-spattered mallet.	The boy is playing hide and seek.	The boy cannot both be playing with a mallet and hide and seek at the same time.	Majhen blond deček se igra z gumijastim kladivom, poškropljenim z barvo.	Deček se igra skrivalnice.	Deček se ne more hkrati igrati s kladivom in skrivalnicami.
1275832390.jpg#0r2e	entailment	The person towards the right is wearing riot uniform while people seem to be filing out.	The perosn is wearing a protective uniform.	The person is wearing a protective uniform while people seem to be filing out	Oseba na desni nosi uniformo za boj proti nemirom, medtem ko se zdi, da se ljudje zbirajo ven.	Oseba je oblečena v zaščitno uniformo.	Oseba nosi zaščitno uniformo, medtem ko se zdi, da ljudje izstopajo
1589475284.jpg#4r3c	contradiction	Four men ride on the back of a dump truck.	Four men are racing motorcycles.	Truck is different than motorcycles.	Štirje moški se vozijo na zadnjem delu tovornjaka.	Štirje moški dirkajo z motorji.	Tovornjak je drugačen od motocikla.
24759839.jpg#2r1e	entailment	A man sitting and holding something with his hands at a table.	A man is sitting at a table.	"""A  man sitting at a table"" is a rephrasing of a ""a man sitting at a table""."	Moški sedi in nekaj drži z rokami za mizo.	Moški sedi za mizo.	&quot;Moški, ki sedi za mizo&quot; je preoblikovan izraz &quot;moški, ki sedi za mizo&quot;.
3404784408.jpg#3r1c	contradiction	A man on a motorcycle is in the middle of a jump.	Someone is doing a jump with a tricycle.	A motorcycle is not a tricycle.	Moški na motorju je sredi skoka.	Nekdo skače s triciklom.	Motocikel ni tricikel.
2446839286.jpg#0r1c	contradiction	Five people, four of them in white, are jumping in the air with joyous looks, somewhere in a major city.	The four white people have no legs.	People who have no legs cannot be jumping in the air.	Pet ljudi, od tega štirje v belem, nekje v večjem mestu veselo skače v zrak.	Štirje belci nimajo nog.	Ljudje brez nog ne morejo skakati v zrak.
4470113445.jpg#3r1c	contradiction	Man with red shirt zipping up his pants.	the turkey is waiting for some juicy batches on mturkgrind	It is either a man or the turkey	Moški z rdečo srajco, ki si zapira hlače.	puran čaka na nekaj sočnih obrokov na mturkgrindu	Ali je moški ali puran
12424190.jpg#4r1c	contradiction	A man laying in a hammock by a lake.	Children bouncing in a bouncy castle.	A man is singular, children are plural.	Moški leži v viseči mreži ob jezeru.	Otroci, ki poskakujejo v napihljivem gradu.	Moški je ednina, otroci so množina.
1419394636.jpg#2r2n	neutral	People are gathered outside for a protest, and one woman in the front is smiling at the camera.	A group is protesting for gay rights.	One cannot assume that the protest is for gay rights.	Ljudje so zbrani zunaj zaradi protesta, ena ženska spredaj pa se smehlja v kamero.	Skupina protestira za pravice istospolno usmerjenih.	Ne moremo domnevati, da je protest za pravice istospolno usmerjenih.
2759616595.jpg#3r1e	entailment	A woman is doing an interpretive dance.	A dancer is performing her art.	doing an interpretive dance is  performing her art because dance is an art	Ženska izvaja interpretativni ples.	Plesalka izvaja svojo umetnost.	izvajati interpretativni ples pomeni izvajati svojo umetnost, ker je ples umetnost
2750154354.jpg#3r1n	neutral	A boy in a red outfit climbs in a tree.	There maybe a boy in a red outfit climbing a tree.	A boy climbs a tree does imply a boy is climbing a tree.	Fant v rdeči obleki pleza na drevo.	Mogoče je fant v rdeči obleki, ki pleza na drevo.	Fant pleza na drevo pomeni, da fant pleza na drevo.
4603790455.jpg#1r1n	neutral	A man and woman are walking together and the woman looks away.	The woman is mad.	Looking away does not imply the woman is mad.	Moški in ženska hodita skupaj in ženska gleda stran.	Ženska je jezna.	Pogled stran ne pomeni, da je ženska jezna.
3102204862.jpg#4r1c	contradiction	Two people are in a wrestling match.	Some peoples are playing cricket in ground	People in a wrestling match can't be playing cricket.	Dve osebi sodelujeta v rokoborbi.	Nekateri ljudje igrajo kriket na terenu	Ljudje v rokoborbi ne morejo igrati kriketa.
209605542.jpg#3r1e	entailment	Man in red headband climbing a rock	A man climbing	A man climbing is a man in red headband and he is climbing a rock.	Moški z rdečim naglavnim trakom pleza po skali	Človek pleza	Moški, ki pleza, je moški z rdečim naglavnim trakom in pleza po skali.
504334876.jpg#3r1c	contradiction	Three kids are standing in line in a hallway.	The kids are running through the hall	Standing and running are different.	Trije otroci stojijo v vrsti na hodniku.	Otroci tekajo po dvorani	Stanje in tek sta različna.
4736134384.jpg#1r1n	neutral	A young woman, sitting, holds up a sign protesting BP.	A woman in a brown shirt is sitting.	Not all young woman wear a brown shirt	Mlada ženska, ki sedi, dvigne znak, ki protestira proti BP.	Sedi ženska v rjavi srajci.	Vse mlade ženske ne nosijo rjave srajce
3262475923.jpg#0r1c	contradiction	Two men in long-sleeved clothing are playing Frisbee in a park.	The men are swimming across the ocean.	The men can't be in long sleeved clothing playing in a park if they are swimming across the ocean.	Dva moška v oblačilih z dolgimi rokavi igrata frizbi v parku.	Moški plavajo čez ocean.	Moški se ne morejo igrati v parku v oblačilih z dolgimi rokavi, če plavajo čez ocean.
3641456303.jpg#0r4n	neutral	Two fashionably dressed young ladies sit back to back on a wall in a city park watching people around them.	Two fashionably dressed young ladies are happily sitting.	the ladies are not necessarily sitting happily.	Dve modno oblečeni mladi dami sedita s hrbtom ob hrbtu na steni v mestnem parku in opazujeta ljudi okoli sebe.	Dve modno oblečeni mladi dami veselo sedita.	ni nujno, da dame srečno sedijo.
3019441253.jpg#2r1e	entailment	Man in light shirt and blue jeans walking by graffiti.	Man in light shirt and blue jeans walking by street art.	Graffiti is street art.	Moški v svetli srajci in modrih kavbojkah, ki hodi mimo grafitov.	Moški v svetli srajci in modrih kavbojkah, ki se sprehaja mimo ulične umetnosti.	Grafiti so ulična umetnost.
3163477256.jpg#3r1e	entailment	A man catches a ball in front of a large crowd.	A man is playing in front of other people.	A man, who catches is playing  in front of people.	Moški ujame žogo pred veliko množico.	Moški se igra pred drugimi ljudmi.	Človek, ki ujame, se igra pred ljudmi.
1519576998.jpg#3r4e	entailment	A toddler boy being cute and pointing.	A small child is innocently pointing upward.	Small child and toddler boy are synonymous and pointing upward implies that the small child is pointing.	Malček, ki je srčkan in kaže.	Majhen otrok nedolžno kaže navzgor.	Majhen otrok in malček sta sinonima in kazanje navzgor pomeni, da majhen otrok kaže.
1095476286.jpg#3r1c	contradiction	A child plays in a fountain.	A couple are holding hands by a fountain.	Plays and holding are not same.	Otrok se igra v vodnjaku.	Par se drži za roke ob vodnjaku.	Igra in držanje nista isto.
3421477759.jpg#0r1c	contradiction	A person is standing on a telephone pole while a large group of people watch.	A person is sleeping.	They can't be both standing outside on a telephone and sleeping.	Oseba stoji na telefonskem stebru, medtem ko velika skupina ljudi opazuje.	Oseba spi.	Ne moreta oba stati zunaj na telefonu in spati.
5291613581.jpg#4r1n	neutral	Little boy in a gray shirt holding a yellow shovel.	A boy is outside helping his father.	Holding a shovel doesn't necessarily imply that he is outside, helping, or with his father.	Deček v sivi srajci z rumeno lopato.	Fant je zunaj in pomaga očetu.	Držanje lopate ne pomeni nujno, da je zunaj, pomaga ali z očetom.
4715763245.jpg#1r4c	contradiction	A makeup artist wearing pink and white face paint and yarn wig is applying face-paint to a young child.	A makeup artist has white and blue face paint.	She either has pink and white or white and blue.	Vizažistka z rožnato in belo barvo obraza in lasuljo iz preje nanaša barvo na obraz majhnega otroka.	Vizažist ima belo in modro barvo obraza.	Ima roza in belo ali belo in modro.
1855352188.jpg#2r1n	neutral	Woman and child walking on a path covered in leaves, while two people on horses come towards them.	Two people on a horse walk towards a woman and a child to help them	Just because two people on horses come towards the woman and child does not mean that they are to help them.	Ženska in otrok hodita po poti, poraščeni z listjem, nasproti pa jima prihajata dva človeka na konjih.	Dva človeka na konju stopita proti ženi in otroku, da bi jima pomagala	Če dva človeka na konjih prideta naproti ženi in otroku, še ne pomeni, da jima morata pomagati.
596562699.jpg#2r2e	entailment	A man waits at a crosswalk holding a motorbike helmet.	A man with a helmet is at a crosswalk.	Holding a motorbike helmet is a way of being with a helmet.	Moški čaka na prehodu za pešce in drži motoristično čelado.	Moški s čelado je na prehodu za pešce.	Držanje motoristične čelade je način, kako biti s čelado.
6206358780.jpg#4r1e	entailment	Four children in a fake egg having fun.	there are childrens playing	Children playing means they are having fun.	Štirje otroci v lažnem jajcu se zabavajo.	tam se igrajo otroci	Otroci, ki se igrajo, pomenijo, da se zabavajo.
2460799229.jpg#3r1e	entailment	Three boys in life jackets float on a raft.	The boys are outside on the water.	boys float on a raft can also be said as boys outside on the water.	Trije fantje v rešilnih jopičih lebdijo na splavu.	Fantje so zunaj na vodi.	fantje lebdijo na splavu lahko rečemo tudi kot fantje zunaj na vodi.
2103080234.jpg#3r1n	neutral	A crowd is enjoying an outdoor festival.	There is a crowd at a music festival.	Not all festivals are music festivals.	Množica uživa v festivalu na prostem.	Na glasbenem festivalu je gneča.	Vsi festivali niso glasbeni.
